Month,London Mean Roadside:Nitric Oxide (ug/m3),London Mean Roadside:Nitrogen Dioxide (ug/m3),London Mean Roadside:Oxides of Nitrogen (ug/m3),London Mean Roadside:Ozone (ug/m3),London Mean Roadside:PM10 Particulate (ug/m3),London Mean Roadside:PM2.5 Particulate (ug/m3),London Mean Roadside:Sulphur Dioxide (ug/m3),London Mean Background:Nitric Oxide (ug/m3),London Mean Background:Nitrogen Dioxide (ug/m3),London Mean Background:Oxides of Nitrogen (ug/m3),London Mean Background:Ozone (ug/m3),London Mean Background:PM10 Particulate (ug/m3),London Mean Background:PM2.5 Particulate (ug/m3),London Mean Background:Sulphur Dioxide (ug/m3)
Jan-08,,55.5,,29.5,25,14.7,4.2,,42.3,,36.9,18.8,.,3.6
Feb-08,,75.9,,20.3,39.5,28.8,7.6,,60.2,,26.4,31.9,.,6.7
Mar-08,,55.6,,40.1,21.6,12.3,3.9,,39.8,,50.2,15.5,.,2.3
Apr-08,,61.8,,37.9,28.7,20.5,4.5,,44,,50.1,21.7,.,3.2
May-08,,62.9,,46.3,34.6,27.5,4.6,,44.1,,60.5,29.5,16.6,4.3
Jun-08,,49.2,,39.8,23.2,16,3.6,,31.2,,51.3,18.3,12.6,2.5
Jul-08,,48.4,,35,23,14.2,3.1,,31.2,,46.6,17.2,11.9,2.5
Aug-08,,41.1,,30,20.7,11.5,2.2,,27.9,,37.1,15.5,11.2,2.1
Sep-08,,54.1,,22.4,28.2,18,3.7,,41.2,,28.9,22.2,15.3,3.1
Oct-08,,56.7,,19.3,23,12.9,4.3,,43.8,,25.4,16.5,11.6,2.8
Nov-08,,57.9,,18.8,21.9,14.7,3.3,,42.3,,22.6,16.8,12.9,2.7
Dec-08,,65.1,,14.5,27.3,20.5,3.8,,47.5,,16.7,21.5,18.1,3.5
Jan-09,,68.5,,18.8,31.1,23.2,5.9,,52,,21.5,25.3,20.7,4.8
Feb-09,,71.9,,15.1,28,19.1,4.7,,52.7,,20.3,20.8,17.2,3
Mar-09,,65.2,,32.3,30,19.7,3.3,,45.3,,40.2,24.3,17.3,2.9
Apr-09,,63.2,,35.7,32.6,26.1,2.7,,40.1,,46,27.7,21.6,2.7
