Month (text),GMT,London Mean Roadside:Nitric Oxide (ug/m3),London Mean Roadside:Nitrogen Dioxide (ug/m3),London Mean Roadside:Oxides of Nitrogen (ug/m3),London Mean Roadside:Ozone (ug/m3),London Mean Roadside:PM10 Particulate (ug/m3),London Mean Roadside:PM2.5 Particulate (ug/m3),London Mean Roadside:Sulphur Dioxide (ug/m3),London Mean Background:Nitric Oxide (ug/m3),London Mean Background:Nitrogen Dioxide (ug/m3),London Mean Background:Oxides of Nitrogen (ug/m3),London Mean Background:Ozone (ug/m3),London Mean Background:PM10 Particulate (ug/m3),London Mean Background:PM2.5 Particulate (ug/m3),London Mean Background:Sulphur Dioxide (ug/m3)
Jan-08,00:00,,42.3,,32.6,23,15.5,3.4,,34.2,,41.8,19.2,.,3.1
Jan-08,01:00,,33.8,,35.3,21.2,13.5,2.6,,29,,45.3,18.9,.,3.1
Jan-08,02:00,,28.8,,43.2,19.6,12.7,2.1,,25.4,,46.6,17.7,.,3.3
Jan-08,03:00,,27.3,,42.4,18.3,11.9,2,,23.4,,46.6,16.4,.,3.3
Jan-08,04:00,,29.4,,40.1,18.1,12,2.2,,24.2,,45.2,16,.,2.8
Jan-08,05:00,,38.3,,33.8,18.7,12.2,2.2,,29.4,,40.3,15.5,.,2.4
Jan-08,06:00,,53.7,,26.7,21.5,14.5,3.4,,39.6,,34.1,16.7,.,2.8
Jan-08,07:00,,66.2,,22.4,23.4,15,4.2,,49.3,,29.3,17.1,.,3
Jan-08,08:00,,69.5,,21.5,25.3,14.9,4.7,,52.9,,28.1,17.7,.,3.5
Jan-08,09:00,,67.1,,23.7,26.6,14.8,5.2,,50.5,,31.4,19.1,.,3.8
Jan-08,10:00,,62.3,,28,26.7,14.6,5.3,,45.6,,36.1,18.5,.,3.9
Jan-08,11:00,,60.5,,29.6,28.1,14.8,5,,43.1,,37.9,19.2,.,4.2
Jan-08,12:00,,59.3,,30,28,14.6,5,,41.4,,39.9,19.1,.,3.9
Jan-08,13:00,,59.7,,30.6,27.7,13.8,5.1,,40,,41.5,18.5,.,3.6
Jan-08,14:00,,60.8,,30.6,26.3,14.2,4.9,,41.1,,41.1,17,.,3.5
Jan-08,15:00,,66.1,,27.8,27.2,14.3,5,,45.6,,37.6,17.8,.,3.6
Jan-08,16:00,,72.6,,23.7,28,15.5,5.3,,52,,31.9,18.8,.,3.7
Jan-08,17:00,,75,,22.1,29.3,16.9,5.5,,55.7,,29.2,20.5,.,3.7
Jan-08,18:00,,74.8,,22.2,30.2,17.9,5.6,,57.1,,28.9,21.8,.,3.9
Jan-08,19:00,,69.4,,23.6,30,17.2,5.4,,55.3,,30.3,22.9,.,3.9
Jan-08,20:00,,62.3,,25.8,28.5,16.7,4.9,,51.5,,32.5,22.6,.,4.4
Jan-08,21:00,,55.9,,28.3,26.1,15.5,4.7,,47.5,,34.4,21.4,.,4.4
Jan-08,22:00,,51.4,,30.5,24.4,15,4,,44,,36.5,20,.,4.3
Jan-08,23:00,,45.8,,33.8,23.1,14.2,3.5,,38.5,,40,19.2,.,3.8
Feb-08,00:00,,68.2,,20.3,34.6,27.4,5.6,,57.9,,25.2,30.1,.,5.5
Feb-08,01:00,,60.7,,21.1,32.2,27.6,4.6,,53.9,,26.6,28.6,.,5.2
Feb-08,02:00,,54,,24,30.5,26.1,4.1,,48.7,,27,27.7,.,5.1
Feb-08,03:00,,50.9,,24.5,29.4,25.1,4,,45.8,,27.4,26.9,.,5
Feb-08,04:00,,51.9,,23.4,28.8,24.2,4.3,,45.6,,27.1,26.2,.,4.9
Feb-08,05:00,,60.7,,19.6,29.8,25.2,4.8,,50.2,,24.6,26.3,.,5.1
Feb-08,06:00,,77.4,,15,33.6,28.6,6.3,,60.4,,20.2,28.1,.,5.4
Feb-08,07:00,,92.3,,12.1,37.8,30.7,7.8,,71.8,,16.7,30.1,.,6.6
Feb-08,08:00,,95.6,,12.6,42.2,31.7,8.7,,74.3,,17.1,33.9,.,7.7
Feb-08,09:00,,90.9,,15.8,45.7,32,9.5,,70.7,,21.3,35.7,.,8.1
Feb-08,10:00,,84.4,,20,49.2,31.4,10.4,,64.4,,27.1,36.8,.,9
Feb-08,11:00,,79.1,,23.6,49.6,29.9,10.2,,58.2,,31.9,36.9,.,8.9
Feb-08,12:00,,74.8,,25.8,47.6,30,10.4,,53.5,,35.7,35.4,.,9
Feb-08,13:00,,72.4,,27.4,46.3,28.9,10.4,,50.8,,38.3,33.9,.,8.9
Feb-08,14:00,,72.5,,26.7,44.6,28.1,10.6,,50.8,,37.7,32.7,.,8.8
Feb-08,15:00,,76.8,,24.8,44.7,27.9,10.9,,54.3,,34.9,33.1,.,8.8
Feb-08,16:00,,82.5,,21.7,43.1,28.1,10,,60.4,,29.8,32.5,.,8.1
Feb-08,17:00,,89.7,,17.2,42,29.2,8.7,,67.9,,23.9,33,.,6.6
Feb-08,18:00,,90.6,,16.8,41,30.3,7.6,,71,,22.2,33.1,.,5.9
Feb-08,19:00,,88.3,,16.7,41.1,31.3,7.2,,71.6,,22.3,33.9,.,5.9
Feb-08,20:00,,83,,18.2,40.6,29.8,6.7,,69.7,,23.2,33.6,.,5.9
Feb-08,21:00,,78.2,,19,38.6,29.2,6.3,,68,,24,33.1,.,5.8
Feb-08,22:00,,75.1,,20.3,38,29.8,6.3,,64.9,,24.7,32.4,.,5.7
Feb-08,23:00,,72.2,,21,36.7,28.1,5.9,,61,,25,31.4,.,5.6
Mar-08,00:00,,47.5,,37.5,17.5,11,3.3,,36.5,,47.2,14.1,.,1.8
Mar-08,01:00,,39.5,,42.9,16.1,10,2.2,,31.1,,51.5,13.5,.,1.8
Mar-08,02:00,,32.9,,48.4,14.4,9.2,2,,27.5,,53.8,12.4,.,1.7
Mar-08,03:00,,30.2,,49.2,13.9,9.2,2,,24.6,,55.1,11.9,.,1.7
